review_id,bank,review_sentiment_mean
1444,axis bank,-0.42062030025
1445,axis bank,0.95969296
1446,axis bank,-0.5907538099999999
1447,axis bank,-0.19529673
1448,axis bank,-0.91339675
1449,axis bank,-0.563617264
1450,axis bank,-0.904485495
1451,axis bank,-0.8046214125
1452,axis bank,-0.42792155
1453,axis bank,-0.804570975
1454,axis bank,-0.7500477999999999
1455,axis bank,-0.43230842
1456,axis bank,0.9529671
1457,axis bank,-0.8380977
1458,axis bank,-0.34216306
1459,axis bank,-0.7062429309090908
1460,axis bank,-0.515750144
1461,axis bank,-0.78367472
1462,axis bank,-0.8890031
1463,axis bank,-0.42464586
1464,axis bank,-0.861356225
1465,axis bank,-0.54318319
1466,axis bank,-0.43432043
1467,axis bank,-0.806353694
1468,axis bank,-0.33537820222222225
1469,axis bank,-0.40469526615384616
1470,axis bank,-0.5634559133333333
1471,axis bank,-0.5597956546666667
1472,axis bank,-0.430734019625
1473,axis bank,-0.5161011751764706
1474,axis bank,-0.5379887613333333
1475,axis bank,-0.33473470516
1476,axis bank,-0.24086185288888887
1477,axis bank,-0.6486428016666667
1478,axis bank,-0.915244835
1479,axis bank,-0.7108942833333334
1480,axis bank,-0.607486134
1481,axis bank,-0.648591535
1482,axis bank,-0.8402714675
1483,axis bank,-0.506669844875
1484,axis bank,-0.67973600125
1485,axis bank,0.14329855244999998
1486,axis bank,-0.54616444
1487,axis bank,-0.22029279749999997
1488,axis bank,-0.3201992656666667
1489,axis bank,-0.7470097333333333
1490,axis bank,0.03306013333333335
1491,axis bank,-0.66359574
1492,axis bank,-0.4648441425
1493,axis bank,-0.54096945
1494,axis bank,-0.93486005
1495,axis bank,-0.6580186610000001
1496,axis bank,-0.5141880465714286
1497,axis bank,-0.49981208499999996
1498,axis bank,-0.8734202833333334
1499,axis bank,-0.42488410625
1500,axis bank,-0.4778960681428571
1501,axis bank,-0.44795102666666664
1502,axis bank,-0.93999594
1503,axis bank,-0.26022835875
1504,axis bank,-0.88666485
1505,axis bank,-0.918423
1506,axis bank,-0.8752060566666667
1507,axis bank,-0.9274572
1508,axis bank,-0.628177345
1509,axis bank,-0.7567812133333334
1510,axis bank,-0.38139813
1511,axis bank,-0.2466151372333333
1512,axis bank,-0.912593
1513,axis bank,-0.3683682762428572
1514,axis bank,-0.60694994
1515,axis bank,-0.6316091580000001
1516,axis bank,-0.7717978
1517,axis bank,-0.508991254
1518,axis bank,-0.5784375749999999
1519,axis bank,-0.80652068
1520,axis bank,-0.92796228
1521,axis bank,-0.6137162914285714
1522,axis bank,-0.504535697
1523,axis bank,-0.36595847333333337
1524,axis bank,-0.9418768
1525,axis bank,-0.6416038828333334
1526,axis bank,-0.7902906666666668
1527,axis bank,-0.24382418250434784
1528,axis bank,-0.03019254799999998
1529,axis bank,-0.451491985
1530,axis bank,0.15749221900000002
1531,axis bank,-0.316093565
1532,axis bank,-0.7790667733333333
1533,axis bank,-0.39942201
1534,axis bank,-0.4921026333333333
1535,axis bank,-0.9051102
1536,axis bank,-0.4059459
1537,axis bank,-0.54809888
1538,axis bank,-0.5268284344999999
1539,axis bank,-0.4308799228
1540,axis bank,-0.7190120866666666
1541,axis bank,-0.3951527675
1542,axis bank,-0.807083425
1543,axis bank,-0.3872226681111111
1544,axis bank,-0.49706647
1545,axis bank,-0.74332129
1546,axis bank,-0.478537619125
1547,axis bank,-0.35994548849999997
1548,axis bank,-0.91142699
1549,axis bank,-0.433138303
1550,axis bank,-0.6223560960000001
1551,axis bank,-0.46214846400000004
1552,axis bank,-0.850694575
1553,axis bank,0.44002969
1554,axis bank,0.6145679066666666
1555,axis bank,-0.6038150632
1556,axis bank,0.44871413111111114
1557,axis bank,-0.52809498
1558,axis bank,-0.5166774866666667
1559,axis bank,-0.9391432
1560,axis bank,-0.7049783035
1561,axis bank,-0.6207885066666666
1562,axis bank,-0.44621587949999997
1563,axis bank,-0.9028977
1564,axis bank,-0.6105127022857142
1565,axis bank,-0.71881652
1566,axis bank,-0.16838622333333333
1567,axis bank,-0.7774753899999999
1568,axis bank,-0.44531770866666665
1569,axis bank,-0.28124790666666666
1570,axis bank,-0.59925884
1571,axis bank,-0.44634972266666667
1572,axis bank,-0.5788039335
1573,axis bank,-0.6963774766666667
1574,axis bank,-0.4538072366666667
1575,axis bank,-0.11761515941666667
1576,axis bank,-0.48188878200000007
1577,axis bank,-0.12298745583333333
1578,axis bank,-0.67996465
1579,axis bank,-0.268583341
1580,axis bank,-0.398838958875
1581,axis bank,-0.3487354821153846
1582,axis bank,-0.7807518808333334
1583,axis bank,-0.8901501
1584,axis bank,-0.612016
1585,axis bank,-0.9223827
1586,axis bank,-0.9100965
1587,axis bank,-0.687719525
1588,axis bank,-0.383566625
1589,axis bank,-0.3948894305
1590,axis bank,-0.8871706349999999
1591,axis bank,-0.6095930300000001
1592,axis bank,-0.52935342
1593,axis bank,-0.353539495
1594,axis bank,-0.5175770264545455
1595,axis bank,-0.6681640350000001
1596,axis bank,-0.19562879575000003
1597,axis bank,-0.9226496
1598,axis bank,-0.25232884499999997
1599,axis bank,-0.9193135
